Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PS/G
1,Alex Abrines\abrinal01,SG,24,OKC,53,8,16.0,1.6,4.1,.386,1.1,2.9,.372,0.5,1.1,.424,.521,0.6,0.7,.865,0.4,1.3,1.7,0.4,0.5,0.1,0.4,1.8,4.8
2,Quincy Acy\acyqu01,PF,27,BRK,52,8,20.8,1.8,5.3,.339,1.4,4.2,.333,0.4,1.2,.361,.469,0.9,1.1,.821,0.7,3.5,4.2,0.8,0.5,0.3,1.0,2.2,5.9
3,Steven Adams\adamsst01,C,24,OKC,54,54,32.4,5.9,9.5,.626,0.0,0.0,.000,5.9,9.4,.629,.626,2.0,3.5,.579,5.2,3.9,9.1,0.9,1.2,1.0,1.5,2.9,13.9
4,Bam Adebayo\adebaba01,C,20,MIA,49,11,20.6,2.6,4.9,.542,0.0,0.1,.000,2.6,4.7,.556,.542,2.0,2.7,.739,1.6,3.7,5.3,1.7,0.6,0.7,0.9,2.1,7.3
5,Arron Afflalo\afflaar01,SG,32,ORL,43,2,12.9,1.1,3.0,.377,0.5,1.3,.370,0.7,1.8,.382,.454,0.4,0.5,.818,0.1,1.3,1.4,0.5,0.0,0.2,0.4,1.1,3.2
6,Cole Aldrich\aldrico01,C,29,MIN,13,0,2.2,0.2,0.7,.333,0.0,0.0,,0.2,0.7,.333,.333,0.2,0.3,.500,0.2,0.3,0.5,0.1,0.2,0.1,0.1,0.5,0.6
7,LaMarcus Aldridge\aldrila01,C,32,SAS,54,54,33.9,8.9,17.7,.501,0.5,1.4,.329,8.4,16.3,.516,.514,4.2,5.1,.835,3.4,5.0,8.4,2.0,0.5,1.2,1.5,2.2,22.4
8,Jarrett Allen\allenja01,C,19,BRK,50,9,18.2,3.1,5.3,.586,0.1,0.2,.333,3.0,5.1,.594,.591,1.4,1.8,.775,1.9,3.1,5.1,0.6,0.4,0.8,1.0,1.9,7.6
9,Kadeem Allen\allenka01,PG,25,BOS,7,0,3.9,0.1,0.9,.167,0.0,0.4,.000,0.1,0.4,.333,.167,0.4,0.6,.750,0.1,0.3,0.4,0.1,0.1,0.0,0.4,0.3,0.7
10,Tony Allen\allento01,SF,36,NOP,22,0,12.4,2.0,4.1,.484,0.2,0.5,.333,1.8,3.6,.506,.505,0.5,1.0,.524,0.9,1.2,2.1,0.4,0.5,0.1,0.9,2.2,4.7
11,Al-Farouq Aminu\aminual01,PF,27,POR,45,43,30.0,3.4,8.4,.405,1.9,4.8,.394,1.5,3.6,.421,.517,0.8,1.1,.750,1.2,6.2,7.4,1.1,1.0,0.6,1.0,1.8,9.5
